SrNo,CalendarDate,Sales,CategoryByGender,Categories,Brand,Colors,Size,In_Stock,Discount,Customer_Return,Rating
d316,12/11/15,3621,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,Yes,Yes,2
d317,13/11/15,3664,Women,Stilettos,Aldo,Black,39,Yes,Yes,No,3
d318,14/11/15,3522,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,No,5
d319,15/11/15,3630,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,No,5
d320,16/11/15,3556,Men,Sneakers,Kate Spade,Red,37,Yes,No,Yes,1
d321,17/11/15,3587,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,No,Yes,1
d322,18/11/15,3951,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,No,Yes,1
d323,19/11/15,3455,Men,Flip Flops,Kate Spade,Red,39,Yes,No,No,4
d324,20/11/15,3488,Men,Flip Flops,Kate Spade,Red,39,Yes,No,No,5
d325,21/11/15,3485,Women,Stilettos,Tommy Hilfiger,White,40,Yes,No,No,5
d326,22/11/15,4231,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,No,Yes,2
d327,23/11/15,3866,Men,Flip Flops,Coach,Pink,37,Yes,No,No,3
d328,24/11/15,3725,Men,Sneakers,Coach,Pink,37,Yes,No,No,5
d329,25/11/15,5655,Women,Stilettos,Kate Spade,Red,40,Yes,Yes,No,5
d330,26/11/15,4764,Men,Flip Flops,Kate Spade,Red,40,Yes,Yes,Yes,1
d331,27/11/15,4676,Women,Stilettos,Coach,Pink,39,Yes,Yes,Yes,1
d332,28/11/15,4981,Men,Boots,Coach,Pink,39,Yes,Yes,Yes,1
d333,29/11/15,6059,Men,Flip Flops,Kate Spade,Red,39,Yes,No,No,4
d334,30/11/15,3826,Men,Boots,Aldo,Black,40,Yes,No,No,5
d335,01/12/15,3782,Women,Wedges,Tommy Hilfiger,White,40,Yes,No,No,5
d336,02/12/15,3810,Men,Sneakers,Kate Spade,Red,39,Yes,No,Yes,2
d337,03/12/15,3508,Men,Flip Flops,Adidas,Blue,41,Yes,No,No,3
d338,04/12/15,3648,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,No,5
d339,05/12/15,4385,Men,Sneakers,Adidas,Blue,38,Yes,No,No,5
d340,06/12/15,4305,Men,Boots,Aldo,Black,39,Yes,No,Yes,1
d341,07/12/15,4327,Women,Stilettos,Tommy Hilfiger,White,38,Yes,Yes,Yes,2
d342,08/12/15,3972,Men,Flip Flops,Coach,Pink,38,Yes,Yes,Yes,2
d343,09/12/15,4370,Men,Boots,Coach,Pink,38,Yes,Yes,Yes,1
d344,10/12/15,4047,Women,Stilettos,Tommy Hilfiger,White,38,Yes,No,Yes,1
d345,11/12/15,3921,Men,Boots,Tommy Hilfiger,White,37,Yes,No,Yes,1
d346,12/12/15,3806,Men,Sneakers,Kate Spade,Red,41,Yes,No,Yes,2
d347,13/12/15,3745,Men,Sneakers,Coach,Pink,41,Yes,Yes,Yes,1
d348,14/12/15,3840,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d349,15/12/15,3662,Women,Stilettos,Kate Spade,Red,40,Yes,Yes,Yes,1
d350,16/12/15,3918,Women,Stilettos,Adidas,Blue,37,Yes,Yes,Yes,1
d351,17/12/15,3674,Men,Flip Flops,Coach,Pink,41,Yes,No,Yes,2
d352,18/12/15,4130,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,Yes,2
d353,19/12/15,3863,Men,Sneakers,Kate Spade,Red,37,Yes,No,Yes,1
d354,20/12/15,3646,Men,Boots,Kate Spade,Red,38,Yes,Yes,Yes,1
d355,21/12/15,3693,Men,Flip Flops,Kate Spade,Red,40,Yes,No,Yes,1
d356,22/12/15,3945,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,Yes,2
d357,23/12/15,3916,Men,Flip Flops,Adidas,Blue,37,Yes,No,Yes,1
d358,24/12/15,4034,Men,Boots,Kate Spade,Red,41,Yes,No,Yes,1
d359,25/12/15,3855,Men,Sneakers,Aldo,Black,39,Yes,No,Yes,1
d360,26/12/15,3689,Women,Wedges,Aldo,Black,41,Yes,No,Yes,1
d361,27/12/15,3951,Women,Stilettos,Coach,Pink,41,Yes,Yes,Yes,1
d362,28/12/15,3734,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,5
d363,29/12/15,3606,Men,Sneakers,Adidas,Blue,37,Yes,No,No,5
d364,30/12/15,3453,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,5
d365,31/12/15,4099,Men,Boots,Aldo,Black,39,Yes,Yes,Yes,1
d366,01/01/16,3803,Men,Boots,Adidas,Blue,39,Yes,No,Yes,3
d367,02/01/16,3797,Men,Boots,Aldo,Black,39,Yes,Yes,No,4
d368,03/01/16,3663,Women,Stilettos,Tommy Hilfiger,White,40,Yes,No,No,4
d369,04/01/16,3759,Men,Boots,Tommy Hilfiger,White,41,Yes,Yes,No,5
d370,05/01/16,3773,Men,Sneakers,Tommy Hilfiger,White,37,Yes,Yes,Yes,2
d371,06/01/16,3756,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,1
d372,07/01/16,3652,Men,Flip Flops,Aldo,Black,40,Yes,No,No,5
d373,08/01/16,3684,Men,Sneakers,Kate Spade,Red,39,Yes,No,No,5
d374,09/01/16,4033,Men,Boots,Tommy Hilfiger,White,41,Yes,No,No,5
d375,10/01/16,3682,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,1
d376,11/01/16,3949,Men,Sneakers,Kate Spade,Red,38,Yes,No,Yes,3
d377,12/01/16,3895,Men,Boots,Aldo,Black,41,Yes,Yes,No,4
d378,13/01/16,4594,Men,Flip Flops,Adidas,Blue,40,Yes,Yes,No,4
d379,14/01/16,4077,Men,Sneakers,Aldo,Black,41,Yes,No,No,5
d380,15/01/16,3988,Women,Stilettos,Coach,Pink,37,Yes,Yes,Yes,2
d381,16/01/16,5569,Men,Boots,Kate Spade,Red,37,Yes,No,Yes,1
d382,17/01/16,4725,Men,Boots,Adidas,Blue,39,Yes,Yes,Yes,2
d383,18/01/16,4687,Men,Sneakers,Kate Spade,Red,40,Yes,Yes,No,5
d384,19/01/16,5107,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,No,5
d385,20/01/16,5512,Women,Stilettos,Adidas,Blue,39,Yes,Yes,No,5
d386,21/01/16,4105,Men,Flip Flops,Kate Spade,Red,39,Yes,No,Yes,1
d387,22/01/16,3981,Men,Boots,Tommy Hilfiger,White,37,Yes,Yes,Yes,1
d388,23/01/16,3674,Women,Stilettos,Coach,Pink,40,Yes,No,No,4
d389,24/01/16,3658,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,No,5
d390,25/01/16,3495,Men,Sneakers,Adidas,Blue,37,Yes,No,Yes,1
d391,26/01/16,4249,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d392,27/01/16,4732,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,Yes,2
d393,28/01/16,4755,Women,Stilettos,Coach,Pink,39,Yes,Yes,No,5
d394,29/01/16,4189,Men,Flip Flops,Kate Spade,Red,41,Yes,Yes,No,5
d395,30/01/16,4697,Women,Wedges,Coach,Pink,40,Yes,No,No,5
d396,31/01/16,4451,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,Yes,1
d397,01/02/16,4117,Men,Flip Flops,Coach,Pink,39,Yes,No,Yes,1
d398,02/02/16,4139,Men,Flip Flops,Aldo,Black,40,Yes,No,No,4
d399,03/02/16,4074,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,No,5
d400,04/02/16,5032,Men,Sneakers,Tommy Hilfiger,White,40,Yes,No,Yes,1
d401,05/02/16,4207,Men,Flip Flops,Aldo,Black,40,Yes,No,Yes,1
d402,06/02/16,4348,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,Yes,2
d403,07/02/16,3946,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,No,5
d404,08/02/16,4399,Women,Stilettos,Aldo,Black,41,Yes,No,No,5
d405,09/02/16,4319,Men,Sneakers,Adidas,Blue,37,Yes,No,Yes,3
d406,10/02/16,4181,Men,Sneakers,Adidas,Blue,38,Yes,No,No,5
d407,11/02/16,4137,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,Yes,No,4
d408,12/02/16,4322,Women,Stilettos,Aldo,Black,40,Yes,Yes,No,4
d409,13/02/16,4463,Men,Boots,Coach,Pink,38,Yes,Yes,No,5
d410,14/02/16,4420,Men,Boots,Aldo,Black,41,Yes,Yes,No,5
d411,15/02/16,4194,Men,Boots,Tommy Hilfiger,White,39,Yes,No,Yes,1
d412,16/02/16,4229,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,2
d413,17/02/16,4112,Men,Sneakers,Kate Spade,Red,39,Yes,Yes,No,5
d414,18/02/16,4169,Men,Flip Flops,Kate Spade,Red,41,Yes,Yes,No,5
d415,19/02/16,4324,Men,Flip Flops,Coach,Pink,40,Yes,Yes,Yes,3
d416,20/02/16,3894,Men,Flip Flops,Aldo,Black,38,Yes,Yes,No,5
d417,21/02/16,4199,Men,Boots,Adidas,Blue,37,Yes,Yes,No,4
d418,22/02/16,3918,Women,Stilettos,Aldo,Black,41,Yes,Yes,No,4
d419,23/02/16,3949,Men,Flip Flops,Aldo,Black,37,Yes,No,No,5
d420,24/02/16,4124,Men,Sneakers,Coach,Pink,40,Yes,No,No,5
d421,25/02/16,4088,Men,Sneakers,Aldo,Black,37,Yes,Yes,No,5
d422,26/02/16,4082,Men,Sneakers,Adidas,Blue,41,Yes,No,No,5
d423,27/02/16,4075,Women,Wedges,Coach,Pink,37,Yes,Yes,Yes,3
d424,28/02/16,4143,Men,Flip Flops,Kate Spade,Red,38,Yes,No,No,5
d425,29/02/16,3898,Men,Flip Flops,Aldo,Black,38,Yes,No,No,5
d426,01/03/16,4435,Men,Sneakers,Adidas,Blue,41,Yes,No,Yes,2
d427,02/03/16,4108,Women,Stilettos,Adidas,Blue,38,Yes,Yes,No,5
d428,03/03/16,4245,Men,Boots,Kate Spade,Red,40,Yes,Yes,No,4
d429,04/03/16,4054,Men,Flip Flops,Coach,Pink,40,Yes,No,No,5
d430,05/03/16,21351,Men,Sneakers,Aldo,Black,41,Yes,Yes,No,5
d431,06/03/16,21883,Men,Boots,Tommy Hilfiger,White,40,Yes,Yes,No,5
d432,07/03/16,20498,Men,Boots,Tommy Hilfiger,White,41,Yes,No,No,5
d433,08/03/16,19257,Men,Boots,Aldo,Black,38,Yes,No,Yes,3
d434,09/03/16,19710,Women,Stilettos,Adidas,Blue,39,Yes,No,No,5
d435,10/03/16,18943,Men,Sneakers,Coach,Pink,38,Yes,No,No,5
d436,11/03/16,18974,Men,Boots,Coach,Pink,41,Yes,Yes,Yes,2
d437,12/03/16,17625,Men,Flip Flops,Adidas,Blue,41,Yes,Yes,No,5
d438,13/03/16,19792,Men,Flip Flops,Coach,Pink,37,Yes,Yes,No,4
d439,14/03/16,18184,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,No,5
d440,15/03/16,18515,Women,Stilettos,Kate Spade,Red,41,Yes,Yes,No,5
d441,16/03/16,18026,Men,Sneakers,Adidas,Blue,41,Yes,Yes,Yes,2
d442,17/03/16,18172,Men,Boots,Aldo,Black,41,Yes,No,No,5
d443,18/03/16,20006,Men,Flip Flops,Kate Spade,Red,40,Yes,No,No,5
d444,19/03/16,18755,Women,Stilettos,Adidas,Blue,37,Yes,No,Yes,1
d445,20/03/16,19037,Men,Sneakers,Tommy Hilfiger,White,37,Yes,Yes,No,4
d446,21/03/16,18575,Men,Boots,Adidas,Blue,37,Yes,Yes,Yes,2
d447,22/03/16,19032,Men,Sneakers,Adidas,Blue,40,Yes,No,No,5
d448,23/03/16,18706,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,4
d449,24/03/16,19297,Men,Flip Flops,Kate Spade,Red,39,Yes,No,No,5
d450,25/03/16,18466,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,Yes,Yes,1
d451,26/03/16,18813,Men,Sneakers,Adidas,Blue,38,Yes,Yes,Yes,2
d452,27/03/16,18122,Men,Sneakers,Adidas,Blue,38,Yes,Yes,No,5
d453,28/03/16,18984,Men,Sneakers,Adidas,Blue,37,Yes,No,No,5
d454,29/03/16,18484,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,1
d455,30/03/16,17966,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,4
d456,31/03/16,19076,Men,Flip Flops,Adidas,Blue,37,Yes,No,Yes,2
d457,01/04/16,20070,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,Yes,No,5
d458,02/04/16,19971,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,No,4
d459,03/04/16,18484,Men,Sneakers,Coach,Pink,39,Yes,No,No,5
d460,04/04/16,19358,Men,Boots,Coach,Pink,39,Yes,No,Yes,1
d461,05/04/16,18658,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,5
d462,06/04/16,18999,Women,Wedges,Kate Spade,Red,39,Yes,No,No,5
d463,07/04/16,18106,Men,Boots,Coach,Pink,37,Yes,No,No,5
d464,08/04/16,18428,Men,Boots,Coach,Pink,37,Yes,Yes,No,5
d465,09/04/16,19514,Women,Wedges,Aldo,Black,40,Yes,Yes,No,4
d466,10/04/16,18673,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,5
d467,11/04/16,19276,Men,Sneakers,Coach,Pink,37,Yes,No,No,5
d468,12/04/16,19333,Women,Wedges,Tommy Hilfiger,White,37,Yes,Yes,No,5
d469,13/04/16,20131,Men,Sneakers,Kate Spade,Red,38,Yes,No,No,5
d470,14/04/16,19997,Men,Flip Flops,Kate Spade,Red,40,Yes,Yes,Yes,1
d471,15/04/16,20978,Men,Flip Flops,Adidas,Blue,37,Yes,No,No,5
d472,16/04/16,27894,Men,Sneakers,Kate Spade,Red,37,Yes,Yes,No,5
d473,17/04/16,21025,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d474,18/04/16,23025,Men,Sneakers,Coach,Pink,40,Yes,No,No,5
d475,19/04/16,27400,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,No,4
d476,20/04/16,35267,Men,Flip Flops,Coach,Pink,37,Yes,No,No,5
d477,21/04/16,17948,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d478,22/04/16,18624,Men,Flip Flops,Kate Spade,Red,41,Yes,Yes,No,5
d479,23/04/16,18655,Men,Sneakers,Coach,Pink,37,Yes,Yes,No,5
d480,24/04/16,18863,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,Yes,1
d481,25/04/16,18142,Men,Flip Flops,Aldo,Black,38,Yes,No,No,5
d482,26/04/16,21190,Men,Boots,Kate Spade,Red,40,Yes,No,No,5
d483,27/04/16,21878,Women,Stilettos,Tommy Hilfiger,White,38,Yes,Yes,No,5
d484,28/04/16,23164,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,No,5
d485,29/04/16,20780,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d486,30/04/16,21034,Women,Stilettos,Adidas,Blue,41,Yes,Yes,No,5
d487,01/05/16,20398,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,Yes,No,5
d488,02/05/16,21164,Men,Flip Flops,Kate Spade,Red,38,Yes,Yes,No,5
d489,03/05/16,19441,Men,Sneakers,Aldo,Black,39,Yes,No,No,5
d490,04/05/16,19002,Women,Wedges,Coach,Pink,39,Yes,No,No,5
d491,05/05/16,20749,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d492,06/05/16,19605,Men,Sneakers,Adidas,Blue,41,Yes,No,No,5
d493,07/05/16,22206,Men,Boots,Adidas,Blue,37,Yes,Yes,No,5
d494,08/05/16,18781,Men,Sneakers,Adidas,Blue,41,Yes,No,No,5
d495,09/05/16,20636,Men,Boots,Adidas,Blue,41,Yes,No,No,5
d496,10/05/16,20023,Men,Sneakers,Coach,Pink,37,Yes,Yes,No,5
d497,11/05/16,20155,Men,Flip Flops,Kate Spade,Red,40,Yes,No,No,5
d498,12/05/16,19865,Men,Sneakers,Adidas,Blue,40,Yes,No,No,5
d499,13/05/16,20653,Men,Flip Flops,Coach,Pink,40,Yes,Yes,No,5
d500,14/05/16,20739,Women,Stilettos,Coach,Pink,38,Yes,Yes,No,5
d501,15/05/16,21412,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d502,16/05/16,20083,Women,Stilettos,Coach,Pink,41,Yes,No,No,4
d503,17/05/16,20515,Men,Boots,Adidas,Blue,40,Yes,No,No,4
d504,18/05/16,20665,Women,Stilettos,Aldo,Black,40,Yes,Yes,No,4
d505,19/05/16,20490,Men,Sneakers,Adidas,Blue,40,Yes,No,No,5
d506,20/05/16,20362,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,Yes,No,5
d507,21/05/16,19896,Men,Sneakers,Aldo,Black,39,Yes,Yes,No,5
d508,22/05/16,21600,Men,Boots,Tommy Hilfiger,White,37,Yes,No,No,5
d509,23/05/16,21056,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,5
d510,24/05/16,22328,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,Yes,1
d511,25/05/16,19884,Men,Sneakers,Coach,Pink,39,Yes,No,No,5
d512,26/05/16,20784,Men,Sneakers,Adidas,Blue,40,Yes,Yes,No,4
d513,27/05/16,20931,Men,Sneakers,Adidas,Blue,39,Yes,No,No,4
d514,28/05/16,20755,Men,Boots,Kate Spade,Red,41,Yes,Yes,No,4
d515,29/05/16,20314,Men,Boots,Coach,Pink,39,Yes,Yes,No,5
d516,30/05/16,19294,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,No,5
d517,31/05/16,21667,Women,Wedges,Aldo,Black,37,Yes,Yes,No,5
d518,01/06/16,20745,Men,Flip Flops,Coach,Pink,39,Yes,Yes,No,5
d519,02/06/16,22077,Men,Flip Flops,Adidas,Blue,37,Yes,No,No,5
d520,03/06/16,21516,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,Yes,1
d521,04/06/16,22812,Men,Sneakers,Kate Spade,Red,41,Yes,No,No,5
d522,05/06/16,22030,Women,Wedges,Coach,Pink,41,Yes,No,No,4
d523,06/06/16,22439,Men,Sneakers,Kate Spade,Red,41,Yes,Yes,No,4
d524,07/06/16,30047,Men,Sneakers,Aldo,Black,41,Yes,No,No,4
d525,08/06/16,21809,Men,Boots,Coach,Pink,37,Yes,Yes,No,5
d526,09/06/16,25089,Men,Flip Flops,Adidas,Blue,41,Yes,No,No,5
d527,10/06/16,27713,Women,Stilettos,Adidas,Blue,41,Yes,No,No,5
d528,11/06/16,36763,Men,Flip Flops,Aldo,Black,41,Yes,No,No,5
d529,12/06/16,20071,Men,Sneakers,Coach,Pink,39,Yes,Yes,No,5
d530,13/06/16,20477,Men,Flip Flops,Coach,Pink,40,Yes,No,Yes,1
d531,14/06/16,19416,Men,Boots,Coach,Pink,38,Yes,No,No,5
d532,15/06/16,20050,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,Yes,No,4
d533,16/06/16,19287,Men,Flip Flops,Adidas,Blue,38,Yes,Yes,No,4
d534,17/06/16,21733,Men,Flip Flops,Coach,Pink,38,Yes,No,No,4
d535,18/06/16,23746,Women,Stilettos,Aldo,Black,39,Yes,No,No,5
d536,19/06/16,24276,Men,Sneakers,Aldo,Black,41,Yes,Yes,No,5
d537,20/06/16,22266,Women,Stilettos,Adidas,Blue,37,Yes,No,No,5
d538,21/06/16,22063,Women,Stilettos,Adidas,Blue,37,Yes,No,No,5
d539,22/06/16,22024,Men,Flip Flops,Kate Spade,Red,38,Yes,Yes,No,5
d540,23/06/16,22149,Men,Boots,Coach,Pink,38,Yes,Yes,Yes,1
d541,24/06/16,20915,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,No,5
d542,25/06/16,20893,Men,Flip Flops,Adidas,Blue,40,Yes,Yes,No,5
d543,26/06/16,24702,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,3
d544,27/06/16,21053,Women,Stilettos,Kate Spade,Red,39,Yes,No,No,4
d545,28/06/16,21443,Men,Flip Flops,Aldo,Black,40,Yes,No,No,5
d546,29/06/16,20640,Men,Flip Flops,Coach,Pink,40,Yes,Yes,No,4
d547,30/06/16,21969,Men,Flip Flops,Aldo,Black,39,Yes,No,No,5
d548,01/07/16,21276,Women,Stilettos,Adidas,Blue,39,Yes,No,No,4
d549,02/07/16,22072,Women,Stilettos,Tommy Hilfiger,White,39,Yes,Yes,Yes,2
d550,03/07/16,21541,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d551,04/07/16,21793,Men,Sneakers,Kate Spade,Red,39,Yes,No,No,5
d552,05/07/16,22452,Men,Boots,Coach,Pink,39,Yes,No,No,5
d553,06/07/16,22341,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,Yes,3
d554,07/07/16,21973,Men,Flip Flops,Adidas,Blue,38,Yes,No,No,4
d555,08/07/16,21283,Men,Sneakers,Adidas,Blue,39,Yes,Yes,No,5
d556,09/07/16,22244,Men,Sneakers,Kate Spade,Red,37,Yes,No,No,4
d557,10/07/16,21002,Men,Boots,Aldo,Black,39,Yes,No,No,5
d558,11/07/16,21755,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,4
d559,12/07/16,20486,Women,Stilettos,Kate Spade,Red,37,Yes,No,Yes,2
d560,13/07/16,21745,Women,Wedges,Tommy Hilfiger,White,39,Yes,No,No,5
d561,14/07/16,21933,Men,Boots,Aldo,Black,39,Yes,No,No,5
d562,15/07/16,22835,Men,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,No,5
d563,16/07/16,21252,Men,Sneakers,Coach,Pink,41,Yes,No,No,5
d564,17/07/16,20811,Men,Flip Flops,Aldo,Black,40,Yes,Yes,No,5
d565,18/07/16,21251,Men,Sneakers,Coach,Pink,38,Yes,No,No,5
d566,19/07/16,21178,Women,Stilettos,Tommy Hilfiger,White,40,Yes,Yes,No,4
d567,20/07/16,21194,Men,Boots,Adidas,Blue,38,Yes,Yes,No,4
d568,21/07/16,20276,Men,Flip Flops,Adidas,Blue,39,Yes,No,No,4
d569,22/07/16,22098,Men,Flip Flops,Aldo,Black,40,Yes,No,No,5
d570,23/07/16,21330,Men,Sneakers,Coach,Pink,39,Yes,Yes,No,4
d571,24/07/16,20972,Men,Boots,Kate Spade,Red,40,Yes,No,No,5
d572,25/07/16,21495,Men,Flip Flops,Kate Spade,Red,37,Yes,Yes,No,5
d573,26/07/16,3171,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,5
d574,27/07/16,3118,Men,Boots,Kate Spade,Red,39,Yes,No,No,5
d575,28/07/16,3034,Women,Stilettos,Adidas,Blue,40,Yes,No,No,5
d576,29/07/16,2702,Men,Boots,Tommy Hilfiger,White,37,Yes,No,No,4
d577,30/07/16,2888,Men,Boots,Aldo,Black,37,Yes,Yes,No,4
d578,31/07/16,2972,Men,Flip Flops,Aldo,Black,37,Yes,No,No,4
d579,01/08/16,2817,Men,Sneakers,Kate Spade,Red,37,Yes,Yes,No,5
d580,02/08/16,2732,Men,Flip Flops,Coach,Pink,41,Yes,No,No,4
d581,03/08/16,3314,Men,Sneakers,Kate Spade,Red,38,Yes,No,No,5
d582,04/08/16,3280,Men,Boots,Aldo,Black,37,Yes,No,No,5
d583,05/08/16,3068,Women,Stilettos,Coach,Pink,38,Yes,No,No,5
d584,06/08/16,2888,Men,Boots,Kate Spade,Red,37,Yes,Yes,No,4
d585,07/08/16,2986,Women,Stilettos,Kate Spade,Red,40,Yes,No,No,5
d586,08/08/16,3335,Men,Sneakers,Aldo,Black,40,Yes,Yes,Yes,2
d587,09/08/16,2966,Women,Stilettos,Coach,Pink,38,Yes,No,No,4
d588,10/08/16,3016,Women,Stilettos,Tommy Hilfiger,White,37,Yes,No,No,5
d589,11/08/16,3100,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,No,5
d590,12/08/16,3378,Men,Flip Flops,Kate Spade,Red,37,Yes,No,Yes,3
d591,13/08/16,2966,Men,Boots,Adidas,Blue,38,Yes,Yes,No,5
d592,14/08/16,3137,Men,Boots,Coach,Pink,40,Yes,No,No,5
d593,15/08/16,2952,Women,Stilettos,Tommy Hilfiger,White,38,Yes,Yes,No,5
d594,16/08/16,3059,Men,Sneakers,Adidas,Blue,38,Yes,No,No,4
d595,17/08/16,2918,Women,Stilettos,Adidas,Blue,37,Yes,Yes,No,5
d596,18/08/16,2807,Men,Boots,Kate Spade,Red,40,Yes,Yes,Yes,2
d597,19/08/16,2747,Men,Boots,Aldo,Black,40,Yes,No,No,4
d598,20/08/16,2689,Men,Sneakers,Kate Spade,Red,40,Yes,Yes,No,5
d599,21/08/16,3030,Women,Stilettos,Kate Spade,Red,38,Yes,Yes,No,5
d600,22/08/16,2864,Men,Flip Flops,Kate Spade,Red,40,Yes,No,Yes,3
d601,23/08/16,2872,Men,Boots,Adidas,Blue,38,Yes,No,Yes,2
d602,24/08/16,2885,Men,Boots,Tommy Hilfiger,White,37,Yes,No,No,4
d603,25/08/16,3237,Men,Boots,Kate Spade,Red,38,Yes,No,No,5
d604,26/08/16,3065,Men,Sneakers,Adidas,Blue,38,Yes,Yes,No,5
d605,27/08/16,2825,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,Yes,1
d606,28/08/16,2931,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,5
d607,29/08/16,2831,Men,Flip Flops,Aldo,Black,39,Yes,No,No,5
d608,30/08/16,2904,Women,Stilettos,Aldo,Black,41,Yes,No,No,4
d609,31/08/16,2806,Men,Boots,Tommy Hilfiger,White,39,Yes,Yes,Yes,1
d610,01/09/16,2849,Men,Sneakers,Kate Spade,Red,37,Yes,No,Yes,3
d611,02/09/16,2780,Men,Flip Flops,Kate Spade,Red,38,Yes,No,Yes,2
d612,03/09/16,3253,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,No,No,4
d613,04/09/16,3018,Men,Flip Flops,Coach,Pink,38,Yes,No,No,5
d614,05/09/16,2973,Men,Boots,Coach,Pink,37,Yes,Yes,No,5
d615,06/09/16,4883,Men,Boots,Coach,Pink,38,Yes,Yes,Yes,1
d616,07/09/16,3444,Men,Boots,Coach,Pink,38,Yes,No,No,5
d617,08/09/16,3528,Men,Flip Flops,Aldo,Black,37,Yes,No,No,5
d618,09/09/16,3678,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,4
d619,10/09/16,4660,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,Yes,1
d620,11/09/16,2981,Women,Wedges,Tommy Hilfiger,White,38,Yes,No,No,3
d621,12/09/16,2863,Men,Boots,Coach,Pink,41,Yes,Yes,Yes,2
d622,13/09/16,2606,Men,Sneakers,Aldo,Black,41,Yes,No,Yes,3
d623,14/09/16,2753,Men,Boots,Adidas,Blue,38,Yes,Yes,No,4
d624,15/09/16,2790,Women,Wedges,Coach,Pink,38,Yes,No,No,5
d625,16/09/16,3296,Men,Sneakers,Aldo,Black,39,Yes,No,No,5
d626,17/09/16,3115,Men,Boots,Coach,Pink,40,Yes,No,No,5
d627,18/09/16,3566,Women,Stilettos,Coach,Pink,40,Yes,No,No,5
d628,19/09/16,2946,Women,Stilettos,Coach,Pink,40,Yes,No,No,4
d629,20/09/16,3290,Men,Boots,Adidas,Blue,40,Yes,No,Yes,3
d630,21/09/16,2930,Men,Flip Flops,Aldo,Black,39,Yes,Yes,No,4
d631,22/09/16,3121,Women,Stilettos,Kate Spade,Red,40,Yes,No,Yes,2
